,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,612225,0A NZ NANI BAHUCHRAJI WARD OFF,NEAR HARIOM MILLVED ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '4c52bec3-dabf-45dc-8369-53dbdf3095a4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:33:18.907396
1,692768,0A NZ PRAMUKH VIDHYALAYA,KRUSHNANAGAR SOCIETYBESIDES MULTIPURPOSE HALLSINGANPORE COZWAY ROAD,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': 'a862a7d9-b3d7-458a-9f09-e0e0e01768dd', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:33:18.907396
2,602676,0C NZ Katargam CHC,Katargam UHC Opp. Makanji Park Society Nr. SMC Quatrs Katargam 395004,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '45881eed-797e-4031-829b-cfd4764bc837', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:33:18.907396
3,688861,0A NZ SCHOOL NO 289,Hari Krishna Cir Opp.Shiv Complex Lalita Chowkadi Shiva Nagar Society Vishal Nagar,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '76360d8f-b544-4bb4-acb9-ec0cef228c86', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:33:18.907396
4,692772,0A NZ SUMAN SCHOOL NO 3,BEHIND KIRAN HOSPITALVASTADEVDI ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '1c667efe-2504-4fa2-8219-39d769256758', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:33:18.907396
5,666445,0C NZ GOVT SCHOOL 117 118,GOTALAWADI TENAMENT ROADPEOPLES CROSS ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '09152f83-e24e-4de2-a58d-e02f43bd5951', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:33:18.907396
6,651513,0C NZ SCHOOL 187 NANI VED,NANI VED,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'bf5422e7-1f3f-4c76-a6b6-677cf69567af', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:33:18.907396
7,650457,0C NZ SCHOOL 188 SINGANPORE,Opp Sahajanand SoC. Near Saffron Sky SINGANPORE,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'c16a07b8-baaa-4256-944c-4d7c0ee778a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:33:18.907396
0,612225,0A NZ NANI BAHUCHRAJI WARD OFF,NEAR HARIOM MILLVED ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '4c52bec3-dabf-45dc-8369-53dbdf3095a4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:35:26.888401
1,692768,0A NZ PRAMUKH VIDHYALAYA,KRUSHNANAGAR SOCIETYBESIDES MULTIPURPOSE HALLSINGANPORE COZWAY ROAD,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': 'a862a7d9-b3d7-458a-9f09-e0e0e01768dd', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:35:26.888401
2,602676,0C NZ Katargam CHC,Katargam UHC Opp. Makanji Park Society Nr. SMC Quatrs Katargam 395004,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '45881eed-797e-4031-829b-cfd4764bc837', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:35:26.888401
3,688861,0A NZ SCHOOL NO 289,Hari Krishna Cir Opp.Shiv Complex Lalita Chowkadi Shiva Nagar Society Vishal Nagar,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '76360d8f-b544-4bb4-acb9-ec0cef228c86', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:35:26.888401
4,692772,0A NZ SUMAN SCHOOL NO 3,BEHIND KIRAN HOSPITALVASTADEVDI ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '1c667efe-2504-4fa2-8219-39d769256758', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:35:26.888401
5,666445,0C NZ GOVT SCHOOL 117 118,GOTALAWADI TENAMENT ROADPEOPLES CROSS ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '09152f83-e24e-4de2-a58d-e02f43bd5951', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:35:26.888401
6,651513,0C NZ SCHOOL 187 NANI VED,NANI VED,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'bf5422e7-1f3f-4c76-a6b6-677cf69567af', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:35:26.888401
7,650457,0C NZ SCHOOL 188 SINGANPORE,Opp Sahajanand SoC. Near Saffron Sky SINGANPORE,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'c16a07b8-baaa-4256-944c-4d7c0ee778a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:35:26.888401
0,612225,0A NZ NANI BAHUCHRAJI WARD OFF,NEAR HARIOM MILLVED ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '4c52bec3-dabf-45dc-8369-53dbdf3095a4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:37:34.682285
1,692768,0A NZ PRAMUKH VIDHYALAYA,KRUSHNANAGAR SOCIETYBESIDES MULTIPURPOSE HALLSINGANPORE COZWAY ROAD,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': 'a862a7d9-b3d7-458a-9f09-e0e0e01768dd', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:37:34.682285
2,602676,0C NZ Katargam CHC,Katargam UHC Opp. Makanji Park Society Nr. SMC Quatrs Katargam 395004,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '45881eed-797e-4031-829b-cfd4764bc837', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:37:34.682285
3,688861,0A NZ SCHOOL NO 289,Hari Krishna Cir Opp.Shiv Complex Lalita Chowkadi Shiva Nagar Society Vishal Nagar,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '76360d8f-b544-4bb4-acb9-ec0cef228c86', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:37:34.682285
4,692772,0A NZ SUMAN SCHOOL NO 3,BEHIND KIRAN HOSPITALVASTADEVDI ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '1c667efe-2504-4fa2-8219-39d769256758', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:37:34.682285
5,666445,0C NZ GOVT SCHOOL 117 118,GOTALAWADI TENAMENT ROADPEOPLES CROSS ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '09152f83-e24e-4de2-a58d-e02f43bd5951', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:37:34.682285
6,651513,0C NZ SCHOOL 187 NANI VED,NANI VED,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'bf5422e7-1f3f-4c76-a6b6-677cf69567af', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:37:34.682285
7,650457,0C NZ SCHOOL 188 SINGANPORE,Opp Sahajanand SoC. Near Saffron Sky SINGANPORE,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'c16a07b8-baaa-4256-944c-4d7c0ee778a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:37:34.682285
0,612225,0A NZ NANI BAHUCHRAJI WARD OFF,NEAR HARIOM MILLVED ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '4c52bec3-dabf-45dc-8369-53dbdf3095a4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:39:39.319169
1,692768,0A NZ PRAMUKH VIDHYALAYA,KRUSHNANAGAR SOCIETYBESIDES MULTIPURPOSE HALLSINGANPORE COZWAY ROAD,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': 'a862a7d9-b3d7-458a-9f09-e0e0e01768dd', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:39:39.319169
2,602676,0C NZ Katargam CHC,Katargam UHC Opp. Makanji Park Society Nr. SMC Quatrs Katargam 395004,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '45881eed-797e-4031-829b-cfd4764bc837', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:39:39.319169
3,688861,0A NZ SCHOOL NO 289,Hari Krishna Cir Opp.Shiv Complex Lalita Chowkadi Shiva Nagar Society Vishal Nagar,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '76360d8f-b544-4bb4-acb9-ec0cef228c86', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:39:39.319169
4,692772,0A NZ SUMAN SCHOOL NO 3,BEHIND KIRAN HOSPITALVASTADEVDI ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '1c667efe-2504-4fa2-8219-39d769256758', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:39:39.319169
5,666445,0C NZ GOVT SCHOOL 117 118,GOTALAWADI TENAMENT ROADPEOPLES CROSS ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '09152f83-e24e-4de2-a58d-e02f43bd5951', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:39:39.319169
6,651513,0C NZ SCHOOL 187 NANI VED,NANI VED,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'bf5422e7-1f3f-4c76-a6b6-677cf69567af', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:39:39.319169
7,650457,0C NZ SCHOOL 188 SINGANPORE,Opp Sahajanand SoC. Near Saffron Sky SINGANPORE,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'c16a07b8-baaa-4256-944c-4d7c0ee778a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:39:39.319169
0,612225,0A NZ NANI BAHUCHRAJI WARD OFF,NEAR HARIOM MILLVED ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '4c52bec3-dabf-45dc-8369-53dbdf3095a4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:41:46.245885
1,692768,0A NZ PRAMUKH VIDHYALAYA,KRUSHNANAGAR SOCIETYBESIDES MULTIPURPOSE HALLSINGANPORE COZWAY ROAD,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': 'a862a7d9-b3d7-458a-9f09-e0e0e01768dd', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:41:46.245885
2,602676,0C NZ Katargam CHC,Katargam UHC Opp. Makanji Park Society Nr. SMC Quatrs Katargam 395004,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '45881eed-797e-4031-829b-cfd4764bc837', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:41:46.245885
3,688861,0A NZ SCHOOL NO 289,Hari Krishna Cir Opp.Shiv Complex Lalita Chowkadi Shiva Nagar Society Vishal Nagar,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '76360d8f-b544-4bb4-acb9-ec0cef228c86', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:41:46.245885
4,692772,0A NZ SUMAN SCHOOL NO 3,BEHIND KIRAN HOSPITALVASTADEVDI ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '1c667efe-2504-4fa2-8219-39d769256758', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:41:46.245885
5,666445,0C NZ GOVT SCHOOL 117 118,GOTALAWADI TENAMENT ROADPEOPLES CROSS ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '09152f83-e24e-4de2-a58d-e02f43bd5951', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:41:46.245885
6,651513,0C NZ SCHOOL 187 NANI VED,NANI VED,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'bf5422e7-1f3f-4c76-a6b6-677cf69567af', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:41:46.245885
7,650457,0C NZ SCHOOL 188 SINGANPORE,Opp Sahajanand SoC. Near Saffron Sky SINGANPORE,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'c16a07b8-baaa-4256-944c-4d7c0ee778a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:41:46.245885
0,612225,0A NZ NANI BAHUCHRAJI WARD OFF,NEAR HARIOM MILLVED ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '4c52bec3-dabf-45dc-8369-53dbdf3095a4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:43:53.159114
1,692768,0A NZ PRAMUKH VIDHYALAYA,KRUSHNANAGAR SOCIETYBESIDES MULTIPURPOSE HALLSINGANPORE COZWAY ROAD,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': 'a862a7d9-b3d7-458a-9f09-e0e0e01768dd', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:43:53.159114
2,602676,0C NZ Katargam CHC,Katargam UHC Opp. Makanji Park Society Nr. SMC Quatrs Katargam 395004,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '45881eed-797e-4031-829b-cfd4764bc837', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:43:53.159114
3,688861,0A NZ SCHOOL NO 289,Hari Krishna Cir Opp.Shiv Complex Lalita Chowkadi Shiva Nagar Society Vishal Nagar,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '76360d8f-b544-4bb4-acb9-ec0cef228c86', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:43:53.159114
4,692772,0A NZ SUMAN SCHOOL NO 3,BEHIND KIRAN HOSPITALVASTADEVDI ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '1c667efe-2504-4fa2-8219-39d769256758', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:43:53.159114
5,666445,0C NZ GOVT SCHOOL 117 118,GOTALAWADI TENAMENT ROADPEOPLES CROSS ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '09152f83-e24e-4de2-a58d-e02f43bd5951', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:43:53.159114
6,651513,0C NZ SCHOOL 187 NANI VED,NANI VED,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'bf5422e7-1f3f-4c76-a6b6-677cf69567af', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:43:53.159114
7,650457,0C NZ SCHOOL 188 SINGANPORE,Opp Sahajanand SoC. Near Saffron Sky SINGANPORE,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': 'c16a07b8-baaa-4256-944c-4d7c0ee778a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:43:53.159114
0,612225,0A NZ NANI BAHUCHRAJI WARD OFF,NEAR HARIOM MILLVED ROADKATARGAM,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '4c52bec3-dabf-45dc-8369-53dbdf3095a4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:45:59.687791
1,692768,0A NZ PRAMUKH VIDHYALAYA,KRUSHNANAGAR SOCIETYBESIDES MULTIPURPOSE HALLSINGANPORE COZWAY ROAD,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': 'a862a7d9-b3d7-458a-9f09-e0e0e01768dd', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:45:59.687791
2,602676,0C NZ Katargam CHC,Katargam UHC Opp. Makanji Park Society Nr. SMC Quatrs Katargam 395004,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,18:00:00,Free,"[{'session_id': '45881eed-797e-4031-829b-cfd4764bc837', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-02:00PM', '02:00PM-04:00PM', '04:00PM-06:00PM']}]",2021-05-09 01:45:59.687791
3,688861,0A NZ SCHOOL NO 289,Hari Krishna Cir Opp.Shiv Complex Lalita Chowkadi Shiva Nagar Society Vishal Nagar,Gujarat,Surat Corporation,North Zone,395004,21,72,10:00:00,16:00:00,Free,"[{'session_id': '76360d8f-b544-4bb4-acb9-ec0cef228c86', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-09 01:45:59.687791
